
   INFO  Server running on [http://0.0.0.0:8765].  

  Press Ctrl+C to stop the server

  2026-07-14 21:03:05 ............................................ ~ 505.29ms
  2026-07-14 21:03:10 .............................................. ~ 0.07ms
  2026-07-14 21:03:10 ............................................ ~ 504.26ms
  2026-07-14 21:03:10 .............................................. ~ 0.02ms
  2026-07-14 21:03:10 .............................................. ~ 0.01ms
  2026-07-14 21:03:10 .............................................. ~ 0.01ms
  2026-07-14 21:03:17 .............................................. ~ 0.06ms
  2026-07-14 21:03:17 ............................................ ~ 500.87ms
  2026-07-14 21:03:17 .............................................. ~ 0.01ms
  2026-07-14 21:03:17 .............................................. ~ 0.01ms
  2026-07-14 21:03:17 .............................................. ~ 0.01ms
