2026-08-21 14:42:38.418 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=null http_status=null type=KilledLaunchNotificationFailure msg="killed-launch getInitialMessage failed (_TypeError)"
2026-08-21 14:42:39.335 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/customer/cart/list http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=73a77887-e0d8-43b3-9dab-3b16c6328900
2026-08-21 14:42:39.438 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/config/get-zone-id http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=78fc9371-9660-44aa-9505-80be1f6d2ecc
2026-08-21 14:42:39.447 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/module http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=07007abb-1fd6-475d-82c3-016c6db28624
2026-08-21 14:42:39.457 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/config http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=a726d8d7-66ee-4212-b22a-11989fbf67b1
2026-08-21 14:42:39.640 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/config/get-zone-id http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=1a784cb9-5c85-408e-ab35-7548ad4911ca
2026-08-21 14:42:39.642 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/config/get-zone-id http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=d6670ee7-eaa6-4209-b89c-753d8f668edc
2026-08-21 14:42:39.668 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/banners http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=9dfc34c1-7489-4e39-87ff-175a846bcac9
2026-08-21 14:42:39.671 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/module http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=3a9f7a3f-d168-460a-9aa6-602945faa2e1
2026-08-21 14:42:39.672 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/module http_status=null type=ModuleFetchFailure msg="zone module list fetch failed"
2026-08-21 14:42:39.674 Df Runner[74824:47d3f57] (Flutter) flutter: [FAIL] endpoint=/api/v1/stores/get-stores/all http_status=null type=ApiFailure transport_error=socket msg="api request threw" correlation_id=3c2d5df1-a82c-402a-9038-fd6f40c60e51
