--------- beginning of main
06-06 23:54:19.731 21308 21328 V FA      : onActivityCreated
06-06 23:54:19.966 21308 21345 V FA      : sdkVersion bundled with app, dynamiteVersion: 161000, 193
06-06 23:54:19.967 21308 21345 V FA      : App measurement collection enabled
06-06 23:54:19.971 21308 21345 V FA      : App measurement enabled for app package, google app id: com.izzes.nearsdelivery, 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:19.971 21308 21345 I FA      : App measurement initialized, version: 169000
06-06 23:54:19.972 21308 21345 I FA      : To enable debug logging run: adb shell setprop log.tag.FA VERBOSE
06-06 23:54:19.972 21308 21345 I FA      : Faster debug mode event logging enabled. To disable, run:
06-06 23:54:19.972 21308 21345 I FA      :   adb shell setprop debug.firebase.analytics.app .none.
06-06 23:54:19.972 21308 21345 D FA      : Debug-level message logging enabled
06-06 23:54:19.973 21308 21345 D FA      : TCF client enabled.
06-06 23:54:19.976 21308 21345 D FA      : Register tcfPrefChangeListener.
06-06 23:54:19.976 21308 21345 V FA      : Default prefs file: com.izzes.nearsdelivery_preferences
06-06 23:54:19.976 21308 21345 D FA      : Handle tcf update.
06-06 23:54:19.982 21308 21345 V FA      : Tcf preferences read
06-06 23:54:20.041 21308 21345 D FA      : Resetting session stitching token to not null
06-06 23:54:20.274 21308 21345 V FA      : Connecting to remote service
06-06 23:54:20.334 21308 21345 V FA      : Connection attempt already in progress
06-06 23:54:20.357 21308 21345 V FA      : Connection attempt already in progress
06-06 23:54:21.585 21308 21345 V FA      : Activity resumed, time: 30564820
06-06 23:54:21.587 21308 21345 I FA      : Tag Manager is not found and thus will not be used
06-06 23:54:21.652 21308 21345 V FA      : Connection attempt already in progress
06-06 23:54:21.652 21308 21345 V FA      : Connection attempt already in progress
06-06 23:54:23.658 21308 21345 D FA      : Connected to remote service
06-06 23:54:23.658 21308 21345 V FA      : Processing queued up service tasks: 5
06-06 23:54:23.799 21308 21345 V FA      : Logging telemetry for logEvent from database
06-06 23:54:23.803  1612 21259 V FA-SVC  : Populate EES config from database on cache miss. appId: com.izzes.nearsdelivery
06-06 23:54:23.803  1612 21259 V FA-SVC  : Parsed config. version, gmp_app_id: 1780654523761815, 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:23.803  1612 21259 V FA-SVC  : EES not loaded for: com.izzes.nearsdelivery
06-06 23:54:23.828  1612 21259 V FA-SVC  : Logging event: origin=auto,name=screen_view(_vs),params=Bundle[{ga_event_origin(_o)=auto, ga_screen_class(_sc)=MainActivity, ga_screen_id(_si)=2288007157000225042}]
06-06 23:54:23.852  1612 21259 V FA-SVC  : dsid successfully retrieved, isEmpty: com.izzes.nearsdelivery, true
06-06 23:54:23.861  1612 21259 V FA-SVC  : Upload scheduled in approximately ms: 500
06-06 23:54:23.861  1612 21259 V FA-SVC  : Scheduling upload, millis: 500
06-06 23:54:23.862  1612 21259 V FA-SVC  : Background event processing time, ms: 45
06-06 23:54:24.223  1612 21259 V FA-SVC  : Populate EES config from database on cache miss. appId: com.izzes.nearsdelivery
06-06 23:54:24.223 21308 21345 V FA      : Logging telemetry for logEvent from database
06-06 23:54:24.223  1612 21259 V FA-SVC  : Parsed config. version, gmp_app_id: 1780654523761815, 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:24.224  1612 21259 V FA-SVC  : EES not loaded for: com.izzes.nearsdelivery
06-06 23:54:24.224  1612 21259 V FA-SVC  : Logging event: origin=app,name=app_open,params=Bundle[{ga_event_origin(_o)=app, ga_screen_class(_sc)=MainActivity, ga_screen_id(_si)=2288007157000225042}]
06-06 23:54:24.235  1612 21259 V FA-SVC  : Upload scheduled in approximately ms: 620
06-06 23:54:24.235  1612 21259 V FA-SVC  : Scheduling upload, millis: 620
06-06 23:54:24.235  1612 21259 V FA-SVC  : Background event processing time, ms: 11
06-06 23:54:24.363  1612 21259 V FA-SVC  : Unscheduling upload
06-06 23:54:24.366  1612 21259 V FA-SVC  : Starting upload from DelayedRunnable
06-06 23:54:24.370  1612 21259 V FA-SVC  : Setting user property: non_personalized_ads(_npa), 0
06-06 23:54:24.375  1612 21259 V FA-SVC  : Saving bundle, size: 565
06-06 23:54:24.387  1612 21259 D FA-SVC  : Uploading events. Elapsed time since last upload attempt (ms): 511
06-06 23:54:24.392  1612 21259 V FA-SVC  : Uploading data. app, uncompressed size, data: com.izzes.nearsdelivery, 663, 
06-06 23:54:24.392  1612 21259 V FA-SVC  : batch {
06-06 23:54:24.392  1612 21259 V FA-SVC  :   bundle {
06-06 23:54:24.392  1612 21259 V FA-SVC  :     protocol_version: 1
06-06 23:54:24.392  1612 21259 V FA-SVC  :     platform: android
06-06 23:54:24.392  1612 21259 V FA-SVC  :     gmp_version: 169000
06-06 23:54:24.392  1612 21259 V FA-SVC  :     uploading_gmp_version: 262031
06-06 23:54:24.392  1612 21259 V FA-SVC  :     dynamite_version: 193
06-06 23:54:24.392  1612 21259 V FA-SVC  :     config_version: 1780654523761815
06-06 23:54:24.392  1612 21259 V FA-SVC  :     gmp_app_id: 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:24.392  1612 21259 V FA-SVC  :     app_id: com.izzes.nearsdelivery
06-06 23:54:24.392  1612 21259 V FA-SVC  :     app_version: 1.0.0
06-06 23:54:24.392  1612 21259 V FA-SVC  :     app_version_major: 1
06-06 23:54:24.392  1612 21259 V FA-SVC  :     firebase_instance_id: eVTuPcOmTEWagZhf5itYCe
06-06 23:54:24.392  1612 21259 V FA-SVC  :     dev_cert_hash: -2323482182238213056
06-06 23:54:24.392  1612 21259 V FA-SVC  :     app_store: manual_install
06-06 23:54:24.392  1612 21259 V FA-SVC  :     upload_timestamp_millis: 1780775664366
06-06 23:54:24.392  1612 21259 V FA-SVC  :     start_timestamp_millis: 1780775661587
06-06 23:54:24.392  1612 21259 V FA-SVC  :     end_timestamp_millis: 1780775664133
06-06 23:54:24.392  1612 21259 V FA-SVC  :     previous_bundle_start_timestamp_millis: 1780775459471
06-06 23:54:24.392  1612 21259 V FA-SVC  :     previous_bundle_end_timestamp_millis: 1780775459471
06-06 23:54:24.392  1612 21259 V FA-SVC  :     app_instance_id: 7e4c350c3f29447117f6c94a515e80dc
06-06 23:54:24.392  1612 21259 V FA-SVC  :     resettable_device_id: 966b18bd-dd73-4b75-9a0d-51c22a07fe1d
06-06 23:54:24.392  1612 21259 V FA-SVC  :     ds_id: 
06-06 23:54:24.392  1612 21259 V FA-SVC  :     limited_ad_tracking: false
06-06 23:54:24.392  1612 21259 V FA-SVC  :     os_version: 17
06-06 23:54:24.392  1612 21259 V FA-SVC  :     device_model: sdk_gphone16k_arm64
06-06 23:54:24.392  1612 21259 V FA-SVC  :     user_default_language: en-us
06-06 23:54:24.392  1612 21259 V FA-SVC  :     time_zone_offset_minutes: 240
06-06 23:54:24.392  1612 21259 V FA-SVC  :     bundle_sequential_index: 6
06-06 23:54:24.392  1612 21259 V FA-SVC  :     delivery_index: 3
06-06 23:54:24.392  1612 21259 V FA-SVC  :     service_upload: true
06-06 23:54:24.392  1612 21259 V FA-SVC  :     health_monitor: 
06-06 23:54:24.392  1612 21259 V FA-SVC  :     consent_signals: G1--
06-06 23:54:24.392  1612 21259 V FA-SVC  :     is_dma_region: false
06-06 23:54:24.392  1612 21259 V FA-SVC  :     consent_diagnostics: 19911
06-06 23:54:24.392  1612 21259 V FA-SVC  :     target_os_version: 36
06-06 23:54:24.392  1612 21259 V FA-SVC  :     ad_services_version: 0
06-06 23:54:24.392  1612 21259 V FA-SVC  :     user_property {
06-06 23:54:24.392  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775367834
06-06 23:54:24.392  1612 21259 V FA-SVC  :       name: first_open_time(_fot)
06-06 23:54:24.392  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:24.392  1612 21259 V FA-SVC  :       int_value: 1780776000000
06-06 23:54:24.392  1612 21259 V FA-SVC  :     }
06-06 23:54:24.392  1612 21259 V FA-SVC  :     user_property {
06-06 23:54:24.392  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775367834
06-06 23:54:24.392  1612 21259 V FA-SVC  :       name: first_open_after_install(_fi)
06-06 23:54:24.392  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:24.392  1612 21259 V FA-SVC  :       int_value: 0
06-06 23:54:24.392  1612 21259 V FA-SVC  :     }
06-06 23:54:24.392  1612 21259 V FA-SVC  :     user_property {
06-06 23:54:24.392  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775664369
06-06 23:54:24.392  1612 21259 V FA-SVC  :       name: lifetime_user_engagement(_lte)
06-06 23:54:24.392  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:24.392  1612 21259 V FA-SVC  :       int_value: 4804
06-06 23:54:24.392  1612 21259 V FA-SVC  :     }
06-06 23:54:24.392  1612 21259 V FA-SVC  :     user_property {
