14:30:17.906 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:21.075 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:23.074 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:25.040 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:27.032 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:28.988 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:30.938 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:32.888 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:34.846 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:36.807 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:38.771 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:40.740 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:42.694 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:44.677 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:46.641 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
14:30:48.608 btn=('Pick Location', 'true') addr='R988+RR7, Rd No. 5, Dhaka 1216, Bangladesh'
