14:30:52.807 btn=('Service not available in this area', 'false') addr='Search Location'
14:30:55.828 btn=('Service not available in this area', 'false') addr='Search Location'
14:30:58.003 btn=('Service not available in this area', 'false') addr='Search Location'
14:30:59.964 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:01.920 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:03.878 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:05.844 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:07.813 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:09.773 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:11.735 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:13.694 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:15.651 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:17.621 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:19.584 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:21.551 btn=('Service not available in this area', 'false') addr='Search Location'
14:31:23.527 btn=('Service not available in this area', 'false') addr='Search Location'
