  0.0s btn=('اختر الموقع', 'false') addr='Q9Q4+726, Dhaka, Bangladesh'
  2.0s btn=('اختر الموقع', 'false') addr='Q9Q4+726, Dhaka, Bangladesh'
  4.0s btn=('اختر الموقع', 'false') addr='Q9Q4+726, Dhaka, Bangladesh'
  6.0s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
  8.8s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
 10.8s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
 12.8s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
 14.8s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
 16.7s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
 18.7s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
 20.7s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
 22.6s btn=('اختر الموقع', 'true') addr='R999+FHM, ঢাকা 1216, Bangladesh'
