09-11 11:34:12.886 22637 22637 I flutter : [INFO] msg="route: module future state=ConnectionState.done hasData=false hasError=false"
09-11 11:34:12.894 22637 22637 I flutter : ----------------FIREBASE CRASHLYTICS----------------
09-11 11:34:12.894 22637 22637 I flutter : The following exception was thrown store: initDataCall guard (FlutterError):
09-11 11:34:12.894 22637 22637 I flutter : StoreDetailsFetchFailure
09-11 11:34:12.895 22637 22637 I flutter : #0      Element.markNeedsBuild.<anonymous closure> (package:flutter/src/widgets/framework.dart:5373:9)
09-11 11:34:12.895 22637 22637 I flutter : #1      Element.markNeedsBuild (package:flutter/src/widgets/framework.dart:5385:6)
09-11 11:34:12.895 22637 22637 I flutter : #2      State.setState (package:flutter/src/widgets/framework.dart:1219:15)
09-11 11:34:12.895 22637 22637 I flutter : #3      GetStateUpdaterMixin.getUpdate (package:get/get_state_manager/src/simple/get_state.dart:22:18)
09-11 11:34:12.895 22637 22637 I flutter : #4      ListNotifierMixin._notifyUpdate (package:get/get_state_manager/src/simple/list_notifier.dart:45:15)
09-11 11:34:12.895 22637 22637 I flutter : #5      ListNotifierMixin.refresh (package:get/get_state_manager/src/simple/list_notifier.dart:38:5)
09-11 11:34:12.895 22637 22637 I flutter : #6      GetxController.update (package:get/get_state_manager/src/simple/get_controllers.dart:22:7)
09-11 11:34:12.895 22637 22637 I flutter : #7      StoreController.getStoreDetails (package:nears/features/store/controllers/store_controller.dart:921:7)
09-11 11:34:12.895 22637 22637 I flutter : #8      _StoreScreenState.initDataCall (package:nears/features/store/screens/store_screen.dart:114:12)
09-11 11:34:12.895 22637 22637 I flutter : #9      _StoreScreenState.initState (package:nears/features/store/screens/store_screen.dart:88:5)
09-11 11:34:12.895 22637 22637 I flutter : #10     StatefulElement._firstBuild (
09-11 11:34:12.895 22637 22637 I flutter : ----------------------------------------------------
09-11 11:34:12.895 22637 22637 I flutter : [FAIL] endpoint=/api/v1/stores/details/ http_status=null type=StoreDetailsFetchFailure msg="store: initDataCall guard (FlutterError)"
09-11 11:34:12.895 22637 22637 I flutter : [NET] GET endpoint=/api/v1/categories/offers
09-11 11:34:12.896 22637 22637 I flutter : [NET] GET endpoint=/api/v1/items/recommended
09-11 11:34:12.896 22637 22637 I flutter : [NET] GET endpoint=/api/v1/items/latest
09-11 11:34:13.629 22637 22637 I flutter : [NET] endpoint=/api/v1/cashback/list http_status=200
09-11 11:34:13.633 22637 22637 I flutter : [NET] endpoint=/api/v1/customer/wish-list http_status=200
09-11 11:34:13.637 22637 22637 I flutter : [NET] endpoint=/api/v1/items/latest http_status=200
09-11 11:34:13.690 22637 22637 I flutter : [NET] endpoint=/api/v1/customer/cart/list http_status=200
09-11 11:34:13.766 22637 22637 I flutter : [NET] endpoint=/api/v1/categories/offers http_status=200
09-11 11:34:13.876 22637 22637 I flutter : [NET] endpoint=/api/v1/items/recommended http_status=200
