# boot-session QA-3721 state — surface	origin	pid	lstart	pgid	detail
backend	reused	7597	Tue Sep 22 10:50:28 2026	7585	port=8000 /Users/Apple/Projects/nears@53e4dda4f
monitor	started	17873	Tue Sep 22 19:51:34 2026	17873	port=9090 pgid 17873
monitor-reverb	started	17917	Tue Sep 22 19:51:34 2026	17917	port=9091 pgid 17917
monitor-queue	started	17964	Tue Sep 22 19:51:34 2026	17964	pgid 17964
widgetbook	started	18154	Tue Sep 22 19:51:35 2026	18154	port=8090 pgid 18154
emulator:UserApp	started	19935	Tue Sep 22 19:52:09 2026	19935	serial=emulator-5568 avd=nears_qa_wave56
emulator:DeliveryApp	started	19256	Tue Sep 22 19:51:44 2026	19256	serial=emulator-5564 avd=NEARS_2424_QA
watch:UserApp	started	20529	Tue Sep 22 19:52:35 2026	20529	pgid 20529 /Users/Apple/Projects/nears-NEARS-3721-live-boot/docs/qa-evidence/NEARS-3721/c1/state/UserApp.log
watch:VendorApp	started	20578	Tue Sep 22 19:52:35 2026	20578	pgid 20578 /Users/Apple/Projects/nears-NEARS-3721-live-boot/docs/qa-evidence/NEARS-3721/c1/state/VendorApp.log
watch:DeliveryApp	started	20627	Tue Sep 22 19:52:35 2026	20627	pgid 20627 /Users/Apple/Projects/nears-NEARS-3721-live-boot/docs/qa-evidence/NEARS-3721/c1/state/DeliveryApp.log
watch:backend	started	20676	Tue Sep 22 19:52:35 2026	20676	pgid 20676 /tmp/nears-backend.log
watch:laravel	started	20727	Tue Sep 22 19:52:35 2026	20727	pgid 20727 /Users/Apple/Projects/nears/Admin/storage/logs/laravel.log
watch:monitor	started	20776	Tue Sep 22 19:52:35 2026	20776	pgid 20776 /Users/Apple/Projects/nears-monitor/storage/logs/laravel.log
app:UserApp	started	20840	Tue Sep 22 19:52:36 2026	20840	serial=emulator-5568 pkg=com.izzes.nears.nears_nears_3721_live_boot
app:DeliveryApp	started	21556	Tue Sep 22 19:52:51 2026	21556	serial=emulator-5564 pkg=com.izzes.nearsdelivery
