# boot-session QA-3721 state — surface	origin	pid	lstart	pgid	detail
backend	reused	7597	Tue Sep 22 10:50:28 2026	7585	port=8000 /Users/Apple/Projects/nears@53e4dda4f
monitor	started	54628	Tue Sep 22 20:45:02 2026	54628	port=9090 pgid 54628
monitor-reverb	started	54695	Tue Sep 22 20:45:02 2026	54695	port=9091 pgid 54695
monitor-queue	started	54784	Tue Sep 22 20:45:02 2026	54784	pgid 54784
widgetbook	started	55020	Tue Sep 22 20:45:03 2026	55020	port=8090 pgid 55020
emulator:DeliveryApp	started	56153	Tue Sep 22 20:45:12 2026	56153	serial=emulator-5564 avd=NEARS_2424_QA
emulator:UserApp	started	56863	Tue Sep 22 20:45:37 2026	56863	serial=emulator-5568 avd=nears_qa_wave56
watch:UserApp	started	57748	Tue Sep 22 20:46:03 2026	57748	pgid 57748 /Users/Apple/Projects/nears-NEARS-3721-live-boot/docs/qa-evidence/NEARS-3721/c2/state/UserApp.log
watch:VendorApp	started	57798	Tue Sep 22 20:46:03 2026	57798	pgid 57798 /Users/Apple/Projects/nears-NEARS-3721-live-boot/docs/qa-evidence/NEARS-3721/c2/state/VendorApp.log
watch:DeliveryApp	started	57864	Tue Sep 22 20:46:03 2026	57864	pgid 57864 /Users/Apple/Projects/nears-NEARS-3721-live-boot/docs/qa-evidence/NEARS-3721/c2/state/DeliveryApp.log
watch:backend	started	57941	Tue Sep 22 20:46:03 2026	57941	pgid 57941 /tmp/nears-backend.log
watch:laravel	started	58006	Tue Sep 22 20:46:03 2026	58006	pgid 58006 /Users/Apple/Projects/nears/Admin/storage/logs/laravel.log
watch:monitor	started	58067	Tue Sep 22 20:46:04 2026	58067	pgid 58067 /Users/Apple/Projects/nears-monitor/storage/logs/laravel.log
app:UserApp	started	58133	Tue Sep 22 20:46:04 2026	58133	serial=emulator-5568 pkg=com.izzes.nears.nears_nears_3721_live_boot
app:DeliveryApp	started	59123	Tue Sep 22 20:46:16 2026	59123	serial=emulator-5564 pkg=com.izzes.nearsdelivery
