# boot-session QA-3721 state — surface	origin	pid	lstart	pgid	detail
backend	reused	7597	Tue Sep 22 10:50:28 2026	7585	port=8000 /Users/Apple/Projects/nears@53e4dda4f
monitor	started	58649	Tue Sep 22 19:06:24 2026	58649	port=9090 pgid 58649
monitor-reverb	started	58702	Tue Sep 22 19:06:24 2026	58702	port=9091 pgid 58702
monitor-queue	started	58750	Tue Sep 22 19:06:24 2026	58750	pgid 58750
widgetbook	started	58874	Tue Sep 22 19:06:25 2026	58874	port=8090 pgid 58874
emulator:UserApp	started	59987	Tue Sep 22 19:06:34 2026	59987	serial=emulator-5560 avd=NEARS_2411_QA
emulator:VendorApp	started	60061	Tue Sep 22 19:06:34 2026	60061	serial=emulator-5562 avd=NEARS_2414_QA
emulator:DeliveryApp	started	60138	Tue Sep 22 19:06:34 2026	60138	serial=emulator-5564 avd=NEARS_2424_QA
app:DeliveryApp	started	64022	Tue Sep 22 19:06:59 2026	64022	serial=emulator-5564 pkg=com.izzes.nearsdelivery
watch:UserApp	started	81696	Tue Sep 22 19:09:28 2026	81696	pgid 81696
watch:VendorApp	started	81746	Tue Sep 22 19:09:28 2026	81746	pgid 81746
watch:DeliveryApp	started	81796	Tue Sep 22 19:09:28 2026	81796	pgid 81796
watch:backend	started	81843	Tue Sep 22 19:09:28 2026	81843	pgid 81843
watch:laravel	started	81891	Tue Sep 22 19:09:28 2026	81891	pgid 81891
watch:monitor	started	81949	Tue Sep 22 19:09:28 2026	81949	pgid 81949
