# full-message logging listen 13:38:14
[APICALL trunc=True] '====> API Call: /api/v1/customer/cart/list?guest_id=101\nHeader: {Content-Type: application/json; charset=UTF-8, X-localization: '
[APICALL trunc=True] '====> API Call: /api/v1/config\nHeader: {moduleId: 3, Content-Type: application/json; charset=UTF-8, zoneId: [2], X-localization:'
[APICALL trunc=True] '====> API Call: /api/v1/banners?featured=1\nHeader: {Content-Type: application/json; charset=UTF-8, zoneId: [2], X-localization: '
[APICALL trunc=True] '====> API Call: /api/v1/config/get-zone-id?lat=24.3999983&lng=54.45\nHeader: {moduleId: 3, Content-Type: application/json; charse'
[APICALL trunc=True] '====> API Call: /api/v1/module\nHeader: {moduleId: 3, Content-Type: application/json; charset=UTF-8, zoneId: [2], X-localization:'
[APICALL trunc=True] '====> API Call: /api/v1/stores/get-stores/all?featured=1&offset=1&limit=50\nHeader: {Content-Type: application/json; charset=UTF-'
[APICALL trunc=True] '====> API Call: /api/v1/config/get-zone-id?lat=24.3999983&lng=54.45\nHeader: {moduleId: 3, Content-Type: application/json; charse'
[APICALL trunc=True] '====> API Call: /api/v1/auth/login\nHeader: {moduleId: 3, Content-Type: application/json; charset=UTF-8, zoneId: [2], X-localizat'
[APICALL trunc=True] '====> API Call: /api/v1/customer/cm-firebase-token\nHeader: {moduleId: 3, Content-Type: application/json; charset=UTF-8, zoneId: '
[APICALL trunc=True] '====> API Call: /api/v1/customer/info\nHeader: {moduleId: 3, Content-Type: application/json; charset=UTF-8, zoneId: [2], X-locali'
[APICALL trunc=True] '====> API Call: /api/v1/customer/cart/list\nHeader: {Content-Type: application/json; charset=UTF-8, X-localization: en, moduleId:'
[APICALL trunc=True] '====> API Call: /api/v1/customer/info\nHeader: {moduleId: 3, Content-Type: application/json; charset=UTF-8, zoneId: [2], X-locali'
